MJ文字図形名	対応するUCS(参考)	総画数	読み(参考)
MJ022881	U+8581	16	イク・にわうめ
MJ022887	U+8584	16	ハク・うすい・うすめる・うすまる・うすらぐ・うすれる
MJ022888	U+8584	17	ハク・バク・ヘキ・ビャク・ホ・ブ・うすい・うすめる・うすまる・うすらぐ・うすれる
MJ022890	U+8585	17	コウ
MJ022894	U+8586	17	アイ・キ・ケ
MJ022895	U+8587	15	ビ・ミ・ぜんまい
MJ022897	U+8587	17	ビ・ミ・ぜんまい
MJ022898	U+8587	16	ビ・ミ・ぜんまい
MJ022899	U+8587	16	ビ・ぜんまい
MJ022901	U+8588	17	ワイ・カイ・イ・エ
MJ022903	U+8589	17	ワイ・エ
MJ022904	U+858A	15	ケイ・カイ・ケ・ケチ・ケツ・あざみ
MJ022906	U+858A	17	ケイ・カイ・ケ・ケチ・ケツ・あざみ
MJ022908	U+858B	17	シ
MJ022910	U+858C	17	キョウ・コウ
MJ022911	U+858C	17	キョウ・コウ・かおり
MJ022912	U+858C	16	キョウ・コウ
MJ022917	U+858F	17	イ・ヨク・オク・オキ
MJ022918	U+858F	17	イ・ヨク・オキ
MJ022920	U+8590	17	ロウ・レン
MJ022922	U+8591	17	キョウ・コウ・はじかみ
MJ022925	U+8593	17	シン
MJ022927	U+8594	17	ソウ・シキ・ゾウ・ショク・ショウ・みずたで
MJ022928	U+8595	16	レン
MJ022930	U+8596	15	カ
MJ022933	U+8597	17	エン・オン
MJ022934	U+8598	15	タツ・タチ・おおばこ
MJ022936	U+8598	17	タツ・タチ
MJ022938	U+8599	17	テイ・タイ・シ・ジ・チ・なぎ・なぐ・かる
MJ022941	U+859B	17	セツ・セチ
MJ022943	U+859C	17	ヘイ・ヘキ・ヒャク・ベイ・ハク・バク・ハイ・ベ
MJ022945	U+859D	17	セン・タン
MJ022948	U+859F	17	レン・ケン・コン・ゲン・ゴン・カン
MJ022950	U+85A0	17	ハン・ボン
MJ022953	U+85A2	17	カイ・ゲ・ケ
MJ022956	U+85A4	17	カイ・ケイ・ゲイ・にら・おおにら
MJ022958	U+85A5	17	ショク・ゾク・チョク・チク
MJ022960	U+85A6	17	セン・ゼン・シン・すすめる
MJ022962	U+85A7	17	コウ
MJ022964	U+85A8	17	コウ・みまかる
MJ022965	U+85A9	17	サツ・サチ
MJ022967	U+85A9	18	サツ・サチ
MJ022968	U+85A9	18	サツ・サチ
MJ022970	U+85AA	17	シン・たきぎ
MJ022972	U+85AB	17	クン・かおる
MJ022973	U+85AB	17	クン・かおる・かおりぐさ・かおり
MJ022978	U+85AD	17	ひえ・ひ
MJ022984	U+85AF	17	ショ・ジョ・いも
MJ022985	U+85AF	18	ショ・ジョ・いも
MJ022987	U+85B0	18	クン・かおる
MJ022992	U+85B3	16	イ・エン・ひめはぎ
MJ022995	U+85B4	18	ドウ・ニョウ
MJ022997	U+85B5	18	チュウ・ジュ
MJ022999	U+85B6	18	バイ・マイ・リ・メ・ワ・うめる
MJ023001	U+85B7	18	ジュ・ニュ・ジュウ
MJ023003	U+85B8	18	ヒョウ・ビョウ
MJ023005	U+85B9	18	ダイ・タイ・あぶらな・とう
MJ023007	U+85BA	18	セイ・ザイ・シ・ジ・なずな
MJ023010	U+85BC	18	チン
MJ023012	U+85BD	18	シン・ケン
MJ023014	U+85BE	18	ジ・ニ・デイ・ナイ
MJ023016	U+85BF	18	ギ・ギョク・ゴク・ゴキ
MJ023019	U+85C1	18	コウ・わら
MJ023023	U+85C2	18	ソウ・ス・ズ・くさむら
MJ023029	U+85C7	18	ショ・ジョ・ヨ
MJ023032	U+85C9	18	シャ・ジャク・セキ・ジャ・かりる・ふむ・しく
MJ023033	U+85C9	17	シャ・ジャク・セキ・かりる・ふむ
MJ023035	U+85CA	18	ヘン・ふじまめ
MJ023037	U+85CB	18	ジョウ・ジョク・ジャク・チョウ・タク・テキ
MJ023039	U+85CD	18	ラン・あい
MJ023041	U+85CD	18	ラン・あい
MJ023043	U+85CE	18	ジン・シン・かりやす
MJ023045	U+85CF	17	ゾウ・くら
MJ023046	U+85CF	18	ゾウ・くら
MJ023047	U+85CF	18	ゾウ・ソウ・くら・かくれる・おさめる・たくわえる
MJ023050	U+85D0	18	バク・マク・ミョウ・ビョウ・ボウ・かろんじる・とおい
MJ023054	U+85D5	19	グ・グウ・ゴウ
MJ023055	U+85D5	18	グ・グウ
MJ023059	U+85D8	19	リョ・ロ
MJ023061	U+85D9	19	ギ・ゲ
MJ023062	U+85DA	19	ショク・ゾク
MJ023064	U+85DA	18	ゾク・ショク・おもだか
MJ023067	U+85DC	19	レイ・ライ・あかざ
MJ023069	U+85DD	19	ゲイ・わざ
MJ023071	U+85DF	19	ルイ
MJ023073	U+85E0	19	キョウ・ギョウ
MJ023074	U+85E1	17	テキ
MJ023076	U+85E1	19	テキ
MJ023080	U+85E4	19	トウ・ドウ・ふじ
MJ023081	U+85E4	18	トウ・ドウ・ふじ
MJ023082	U+85E4	19	トウ・ドウ・ふじ
MJ023087	U+85E5	19	ヤク・シャク・リャク・くすり
MJ023088	U+85E5	19	ヤク・シャク・リャク・くすり
MJ023090	U+85E6	19	バ・マ
MJ023095	U+85E8	19	ビョウ・キョウ・ヒョウ・ホウ
MJ023097	U+85E9	19	ハン・ホン・まがき
MJ023099	U+85EA	19	ス・シュ・ソウ・やぶ
MJ023100	U+85EA	19	シュ・ソウ・ス・やぶ
MJ023105	U+85ED	19	キュウ・グ
MJ023112	U+85F3	19	コウ・わら
MJ023115	U+85F6	20	レキ・リャク
MJ023117	U+85F7	19	ショ・いも
MJ023118	U+85F7	20	ショ・ジョ・いも
MJ023121	U+85F9	20	アイ・アチ・アツ
MJ023122	U+85F9	18	アイ・アチ・アツ
MJ023124	U+85FA	20	リン・レン・い
MJ023126	U+85FB	20	ソウ・ショウ・も
MJ023128	U+85FC	20	ケン
MJ023129	U+85FC	20	ケン・カン・かや
MJ023133	U+85FE	20	ライ
MJ023134	U+85FE	19	ライ・くさよもぎ・おおう
MJ023136	U+85FF	20	カク・スイ・まめのは
MJ023138	U+8600	20	タク・ジャク
MJ023141	U+8602	20	ズイ・しべ
MJ023144	U+8604	20	キ・キン・ギ・ケ・ゴン・くつわ
MJ023146	U+8605	20	コウ・ギョウ
MJ023148	U+8606	20	ロ・リョ・ラ・あし
MJ023149	U+8607	18	ソ・ス・よみがえる
MJ023151	U+8607	19	ソ・ス・ショ・よみがえる
MJ023152	U+8607	20	ソ・ス・ショ・よみがえる
MJ023156	U+860A	20	ウン・オン・つむ
MJ023158	U+860B	20	ヒン・ビン・うきくさ
MJ023159	U+860B	20	ヒン・うきくさ
MJ023161	U+860D	20	クン
MJ023163	U+2C7D3	18	クン・かおる
MJ023166	U+860E	20	キ
MJ023169	U+8610	20	ケン
MJ023171	U+8611	20	バ・マ
MJ023173	U+8612	20	はぎ
MJ023175	U+8613	20	ソ・ス・よみがえる
MJ023179	U+8616	21	ゲツ・ひこばえ
MJ023181	U+8617	21	ハク・きはだ
MJ023182	U+8618	21	ジョウ・ニョウ・ソウ・ドウ・ショウ・ノウ・みょうが
MJ023184	U+8618	20	ジョウ・みょうが
MJ023186	U+8619	21	エイ
MJ023187	U+8619	21	エイ
MJ023190	U+861A	21	セン・こけ
MJ023192	U+861B	21	イク・ユ
MJ023195	U+861E	21	レン・ケン・コン・えぐい
MJ023199	U+8621	21	オウ・ヨウ
MJ023201	U+8622	20	ロウ・リョウ
MJ023202	U+8622	20	ロウ・リョウ
MJ023204	U+8624	20	カ・ハイ・ケ・バ
MJ023206	U+8624	21	イ・ハ・バ・カ・ケ
MJ023209	U+8627	19	キョ・ク・まこもだけ
MJ023211	U+8627	21	キョ・ク・グ・ゴ・まこもだけ
MJ023215	U+8629	21	ハン・ボン・しろよもぎ・ふき
MJ023216	U+8629	19	ハン・ボン・しろよもぎ・ふき
MJ023222	U+862D	20	ラン・かたなかけ・さえぎる
MJ023223	U+862D	21	ラン
MJ023227	U+862F	21	トウ
MJ023229	U+8630	21	かつら・かずら
MJ023230	U+8630	21	かつら・かずら
MJ023236	U+8636	22	ギ
MJ023238	U+8636	21	ギ・ひこばえ
MJ023240	U+8638	23	サン・ひたす
MJ023242	U+8639	23	カイ・エ
MJ023244	U+863A	23	リ
MJ023247	U+863C	23	ビ・ミ
MJ023249	U+863D	23	ルイ
MJ023252	U+863F	23	ラ
MJ023254	U+8640	23	セイ・サイ・なます
MJ023255	U+8641	23	キ
MJ023256	U+8641	22	キ
MJ023257	U+8641	23	キ・ギ・もののけ
MJ023260	U+8642	24	ロ
MJ023264	U+8646	25	ルイ・ラ
MJ023273	U+864E	8	コ・ク・とら
MJ023278	U+8650	9	ギャク・ガク・しいたげる
MJ023284	U+8653	10	キョウ・コウ・ほえる
MJ023286	U+8654	10	ケン・つつしむ
MJ023296	U+865E	13	グ・ゴ・おそれ
MJ023309	U+8667	17	キ・かける
MJ023312	U+866A	26	シュク・イク
MJ023330	U+867B	9	ボウ・あぶ
MJ023337	U+8688	10	ケン
MJ023340	U+8689	10	ブン・か
MJ023342	U+868A	10	か
MJ023344	U+868B	10	ゼイ・ぶよ
MJ023346	U+868C	10	ボウ・ホウ・とぶがい
MJ023362	U+869C	10	カ・ケ
MJ023371	U+86A3	10	コウ・ショウ
MJ023378	U+86A9	11	チ
MJ023381	U+86AB	11	あわび
MJ023432	U+86DF	12	コウ・みずち
MJ023436	U+86E2	14	ヘイ・ビョウ・ホウ・ヒョウ
MJ023442	U+86E7	12	ボウ・モウ
MJ023445	U+86E9	12	キョウ・グ・ク・こおろぎ
MJ023446	U+86E9	12	キョウ・グ・こおろぎ
MJ023448	U+86EA	12	ケツ・ケチ・ゲツ・ゲチ
MJ023450	U+86EB	12	キ
MJ023458	U+86F8	13	ソウ・ショウ・たこ
MJ023463	U+86FB	13	ゼイ・ぬけがら
MJ023472	U+8703	13	シン
MJ023478	U+8708	13	ゴ
MJ023480	U+8709	13	フ
MJ023489	U+8711	14	タン・あま
MJ023491	U+8712	14	エン
MJ023492	U+8712	13	エン
MJ023499	U+871A	14	ヒ・あぶらむし
MJ023515	U+8729	14	チョウ・せみ・ひぐらし
MJ023530	U+8737	15	ケン・ゲン・にな
MJ023534	U+8739	14	ゼイ・ネ・ゼツ・ネチ・エイ・エ・ぶよ
MJ023537	U+873B	14	セイ・ショウ・とんぼ
MJ023546	U+8744	14	モウ・ボウ・すだま
MJ023547	U+8745	14	サン
MJ023555	U+874D	15	ショク・シツ・セツ・シキ・シチ・セチ
MJ023557	U+874E	14	カツ・さそり
MJ023560	U+8750	15	バイ・メ・ボウ・マイ・モク
MJ023564	U+8753	15	ユ
MJ023567	U+8755	15	ショク・ロウ・ル・リョク・ジキ・リキ・むしばむ
MJ023571	U+8758	15	エン
MJ023572	U+8759	15	ヘン
MJ023578	U+875D	15	エン
MJ023600	U+8771	15	ボウ・ミョウ・あぶ
MJ023602	U+8773	14	トク・ドク・タイ・ダイ
MJ023604	U+8773	15	タイ・ダイ・トク・ドク
MJ023609	U+8777	15	レキ・リャク・セキ・シャク
MJ023611	U+8779	15	イン・ウン
MJ023619	U+8782	15	ロウ
MJ023620	U+8782	15	ロウ
MJ023621	U+8782	16	ロウ
MJ023647	U+879B	16	カツ・ガチ・ゲチ
MJ023655	U+87A3	16	トウ・チン・トク・ドウ・ジン・ドク・タイ・ダイ
MJ023681	U+87BD	17	シュウ・いなご
MJ023685	U+87C0	17	シュツ
MJ023690	U+87C4	17	チツ・かくれる
MJ023693	U+87C6	17	バ・メ・マ・バク・マク・ひき
MJ023695	U+87C7	17	マ・バ・ひき
MJ023705	U+87D2	16	モウ・ボウ・うわばみ・おろち
MJ023706	U+87D2	17	モウ・ボウ・ミョウ・うわばみ・おろち
MJ023707	U+87D2	18	ボウ・モウ・ミョウ・うわばみ・おろち
MJ023715	U+87D9	18	ショク・シキ
MJ023726	U+87E3	18	キ・しらみ・ひる
MJ023735	U+87EB	18	シン・タン・イン・ドン・ジン・しみ
MJ023747	U+87F6	19	テイ・まて
MJ023759	U+8801	19	キョウ・さし・にしどち
MJ023761	U+8802	19	ショウ
MJ023763	U+8803	19	ラ・カ・ケ・にし・にな
MJ023767	U+8805	19	ヨウ・はえ
MJ023769	U+8806	19	タイ・タツ・チ・テ・タチ・ジ・さそり
MJ023771	U+8807	19	レイ・かき
MJ023778	U+880D	18	カツ・さそり
MJ023779	U+880D	19	カツ
MJ023781	U+880E	19	モウ・ボウ・うわばみ・おろち
MJ023782	U+880E	18	モウ・うわばみ・おろち
MJ023783	U+880E	18	モウ・ボウ・うわばみ・おろち
MJ023789	U+8813	20	ボウ・ム・モウ・みみず
MJ023793	U+8816	20	カク・ワク
MJ023798	U+881A	21	カク・チャク・セキ・シャク・コク・テツ・テチ・ジャク
MJ023799	U+881B	21	ベツ・メチ
MJ023801	U+881B	21	ベツ・メチ
MJ023808	U+8821	21	レイ・リ・にな・ひさご
MJ023809	U+8821	21	レイ・リ・にな・ひさご
MJ023812	U+8823	21	レイ・ライ・かき
MJ023817	U+8828	23	ショウ・シュク
MJ023820	U+882A	22	ロウ・ル・リョウ・リュ
MJ023822	U+882B	22	リ
MJ023824	U+882D	22	ホウ・はち
MJ023833	U+8836	24	サン・ザン・かいこ
MJ023835	U+8836	26	サン・ザン・かいこ
MJ023847	U+8841	9	コウ
MJ023848	U+8842	9	ジク・ニク
MJ023849	U+8842	9	ジク・ニク・はなぢ
MJ023858	U+884A	21	ベツ・バツ・ベン・バン・メチ・マチ・メン・マン・けがす
MJ023859	U+884A	21	ベツ・バツ・ベン・バン・けがす
MJ023862	U+884B	24	キョク・コキ・いたむ
MJ023870	U+8853	11	ジュツ・シュツ・ジュチ・スイ・ズイ・すべ
MJ023878	U+885B	15	エイ・まもる
MJ023880	U+885B	16	エイ・エツ・エ・まもる・まもり
MJ023899	U+886E	10	コン
MJ023902	U+8871	8	キョウ・コウ・ギョウ
MJ023905	U+8872	9	ドウ・ノウ・ころも
MJ023930	U+888D	10	ホウ・ボウ・わたいれ
MJ023944	U+889A	10	ハツ・フツ・ヒ・ひざかけ
MJ023949	U+889E	11	コン
MJ023954	U+88A2	10	ハン
MJ023955	U+88A3	10	エイ・イ
MJ023998	U+88D2	12	ホウ・ブ・フウ・ボウ・あつめる
MJ024005	U+88D7	12	リュウ・ル
MJ024030	U+88F4	14	ハイ
MJ024038	U+88FA	16	エン
MJ024051	U+8907	14	フク・フウ・ブ・かさねる
MJ024055	U+890A	14	ヘン・ベン・せまい
MJ024065	U+8912	15	ホウ・ほめる
MJ024071	U+8918	14	イ・キ・キク・コク
MJ024077	U+891C	15	ホウ・えな
MJ024079	U+891E	14	オン・ウン・ぬのこ
MJ024090	U+8927	16	ケイ
MJ024093	U+892A	14	タイ・トン・あせる・ぬぐ
MJ024096	U+892B	15	チ・うばう
MJ024104	U+8933	15	レン
MJ024106	U+8935	15	リ
MJ024107	U+8935	16	リ
MJ024110	U+8936	16	シュウ
MJ024116	U+893B	17	セツ・けがれる・なれる
MJ024118	U+893C	16	セン
MJ024124	U+8941	17	キョウ・むつき
MJ024127	U+8943	17	ホウ・ブ・ほめる
MJ024135	U+894A	17	サイ・セ・サツ・サチ
MJ024145	U+8956	17	オウ・あお・ふすま
MJ024150	U+895A	17	スイ・ズイ
MJ024166	U+896A	20	バツ・マチ・ベツ
MJ024167	U+896A	20	ベツ・バツ・モチ
MJ024168	U+896A	19	ベツ
MJ024174	U+896F	21	シン・はだぎ
MJ024177	U+8971	21	ロウ・ル・チョウ・ジュ・リョウ・リュ
MJ024179	U+8972	22	シュウ・おそう
MJ024182	U+8974	21	ラン
MJ024189	U+897A	24	ケン
MJ024192	U+897C	24	ゲイ
MJ024194	U+897D	26	ラン
MJ024197	U+897F	6	セイ・サイ・にし
MJ024200	U+8981	9	ヨウ・いる・かなめ
MJ024204	U+8983	12	タン・エン
MJ024206	U+8986	18	フク・フウ・フ・ホク・おおう・くつがえす・くつがえる
MJ024208	U+8986	18	フク・フウ・フ・ホク・ブ・おおう・くつがえす・くつがえる・おおい・もどる
MJ024209	U+8987	19	ハ・はたがしら
MJ024212	U+8988	19	カク・ケツ・しらべる
MJ024214	U+8989	23	キ
MJ024216	U+898A	25	キ・おもがい
MJ024220	U+898D	11	
MJ024224	U+8990	11	カク・コウ・キョウ・おぼえる・さとる・さとす・さとり
MJ024247	U+89A6	16	ユ・ねがう
MJ024251	U+89A9	15	ト・ツ・みる
MJ024257	U+89AF	17	コウ・ク・カク・あう
MJ024262	U+89B2	17	キン・まみえる
MJ024267	U+89B6	19	ラ・レン
MJ024279	U+89C0	25	カン・みる
MJ024280	U+89C0	25	カン・みる
MJ024282	U+89D2	7	カク・かど・つの
MJ024283	U+89D2	7	カク・かど・つの
MJ024285	U+89D3	9	キュウ・ク・グ
MJ024292	U+89DA	12	コ・ク・さかずき
MJ024320	U+89F4	17	ショウ・さかずき
MJ024340	U+8A0A	10	ジン・シン・とう・たずねる
MJ024350	U+8A12	10	ジン・ニン
MJ024358	U+8A18	10	キ・しるす
MJ024361	U+8A1B	11	カ・なまる
MJ024363	U+8A1D	11	ガ・ゲ・いぶかる
MJ024365	U+8A1D	12	ガ・いぶかる
MJ024366	U+8A1D	12	ガ・いぶかる
MJ024369	U+8A1F	11	ショウ
MJ024376	U+8A25	11	トツ・どもる
MJ024399	U+8A3B	12	チュウ・チュ・シュ
MJ024401	U+8A3B	12	チュウ
MJ024422	U+8A4E	12	キョ・なに・なにすれぞ・なんぞ
MJ024429	U+8A55	12	ヒョウ・ヘイ・ビョウ・はかる
MJ024441	U+8A60	13	エイ・ヨウ・エ・うたう・よむ・ながむ
MJ024446	U+8A64	13	コウ・キョウ
MJ024447	U+8A64	13	コウ・ねごと
MJ024457	U+8A6D	13	キ・いつわる
MJ024458	U+8A6E	13	セン
MJ024464	U+8A72	13	ガイ・かねる
MJ024475	U+8A7C	13	カイ・たわむれ
MJ024484	U+8A84	13	ルイ
MJ024487	U+8A86	13	キョウ・ゴウ
MJ024493	U+8A8D	14	ニン・ジン・ジョウ・ニョウ・みとめる
MJ024502	U+8A95	14	タン・ダン・いつわる
MJ024504	U+8A95	15	タン
MJ024511	U+8A9A	14	ショウ・せめる
MJ024518	U+8AA0	14	セイ・ジョウ・まこと
MJ024522	U+8AA4	14	ゴ・あやまる
MJ024524	U+8AA4	14	ゴ・あやまる
MJ024526	U+8AA5	14	コウ・コク・つげる
MJ024527	U+8AA5	14	コウ・つげる
MJ024531	U+8AA8	13	カイ・おしえる
MJ024538	U+8AAE	15	やさしい
MJ024548	U+8AB7	15	ボウ・モウ
MJ024551	U+8AB9	15	ヒ・そしる
MJ024557	U+8ABE	15	ギン
MJ024558	U+8ABF	15	チョウ・ジョウ・チュウ・チュ・しらべる・ととのう・ととのえる
MJ024571	U+8ACB	15	セイ・シン・ショウ・ジョウ・こう・うける
MJ024575	U+8ACD	15	ソウ・あらそう・いさかう・いさめる・うったえる
MJ024594	U+8ADB	16	ユ・へつらい・へつらう
MJ024595	U+8ADB	13	ユ・へつらい・へつらう
MJ024598	U+8ADE	16	ヘン・ベン
MJ024604	U+8AE1	16	シ・イ・ジ・おくりな
MJ024608	U+8AE4	16	ガク
MJ024611	U+8AE6	16	テイ・タイ・ダイ・あきらめる・つまびらか・まこと
MJ024619	U+8AED	16	ユ・トウ・ツ・さとす
MJ024621	U+8AED	16	ユ・トウ・ツ・さとす
MJ024622	U+8AEE	16	シ・はかる
MJ024626	U+8AF1	16	キ・いみな・いむ
MJ024628	U+8AF1	17	キ・いみな・いむ
MJ024632	U+8AF3	16	アン・オン・トウ・ツ・そらんじる・そらよみする
MJ024636	U+8AF6	16	ジン・まこと
MJ024641	U+8AFA	16	ゲン・ガン・ことわざ
MJ024644	U+8AFC	16	ケン
MJ024647	U+8AFE	16	ダク・ナク・うべなう
MJ024649	U+8AFF	16	シュウ・ショ
MJ024653	U+8B04	17	トウ・ドウ・うつす
MJ024655	U+8B04	17	トウ・ドウ・うつす
MJ024662	U+8B0A	17	コウ・キョウ・ねごと
MJ024663	U+8B0A	17	コウ・キョウ・ねごと
MJ024664	U+8B0A	16	コウ・ねごと
MJ024665	U+8B0B	17	カク・ケキ・キャク・トク・ドク
MJ024669	U+8B0E	16	メイ・ベイ・なぞ
MJ024680	U+8B14	17	ギャク・たわむれる
MJ024684	U+8B17	17	ボウ・ホウ・そしる
MJ024686	U+8B19	17	ケン・キョウ・コウ・へりくだる
MJ024691	U+8B1A	17	シ・おくりな
MJ024692	U+8B1A	17	シ・おくりな
MJ024693	U+8B1B	17	コウ・ク
MJ024697	U+8B1D	17	シャ・あやまる
MJ024709	U+8B28	18	ボ・モ・バク・マク・はかる
MJ024713	U+8B2B	18	タク・チャク・サク・せめる
MJ024714	U+8B2C	18	ビュウ・あやまる
MJ024723	U+8B33	18	オウ・ウ・ク・うたう
MJ024728	U+8B37	18	ゴウ・そしる・かまびすしい
MJ024731	U+8B39	18	キン・コン・ゴン・つつしむ
MJ024736	U+8B3E	18	マン・バン・ベン・メン・あざむく・あなどる
MJ024741	U+8B41	18	カ・かまびすしい
MJ024742	U+8B41	19	カ・ケ・ゲ・ガ・かまびすしい
MJ024746	U+8B44	18	ソウ
MJ024747	U+8B44	18	ソウ
MJ024751	U+8B45	21	シュウ・ドウ・ノウ・しぶる・どもる
MJ024759	U+8B4C	19	カ・キ・ガ・ゲ・なまり
MJ024760	U+8B4C	19	カ・キ・ガ・ゲ・なまり
MJ024763	U+8B4F	19	キ・そしる
MJ024764	U+8B4F	19	キ・ケ・そしる
MJ024770	U+8B53	17	エ・ケイ
MJ024774	U+8B56	21	シン・そしる
MJ024777	U+8B58	19	シキ・しる
MJ024779	U+8B5A	19	タン・ダン・ドン・はなし
MJ024783	U+8B5C	20	フ
MJ024789	U+8B61	21	トウ
MJ024796	U+8B66	20	ケイ・キョウ・いましめる
MJ024800	U+8B69	20	イ・オク・エ・アイ・ヨク・イキ・ああ・おくび
MJ024802	U+8B6A	20	アイ
MJ024803	U+8B6A	19	アイ・まめまめしい
MJ024812	U+8B71	20	ゼン・よい
MJ024815	U+8B74	20	ケン・せめる
MJ024820	U+8B77	21	ゴ・コ・まもる
MJ024830	U+8B81	21	タク・せめる
MJ024832	U+8B81	22	タク・せめる
MJ024838	U+8B89	22	イ・ユイ
MJ024840	U+8B8A	22	ヘン
MJ024843	U+8B8B	23	ショウ・トウ・ドウ
MJ024845	U+8B8C	22	エン
MJ024859	U+8B99	25	カン・ケン・かまびすしい
MJ024869	U+8C3A	11	カ・ケ・こだま
MJ024871	U+8C3A	11	カ・こだま
MJ024872	U+8C3A	12	カ・こだま
MJ024877	U+8C3E	15	コウ・ロウ
MJ024879	U+8C3F	17	ケイ・たにがわ
MJ024881	U+8C41	17	カツ・カチ・ひらける・ひろい
MJ024883	U+8C41	17	カツ・ひらける・ひろい
MJ024884	U+8C41	17	カツ・カチ・ひらける・ひろい
MJ024889	U+8C45	23	ロウ・コウ・ク・ル
MJ024902	U+8C53	27	エン・なまめかしい
MJ024905	U+8C55	6	シ
MJ024907	U+8C55	7	シ・いのこ
MJ024910	U+8C57	10	カイ・ケ
MJ024913	U+8C59	11	ギ・ゲ
MJ024915	U+8C5A	11	トン・ぶた
MJ024922	U+8C61	12	ショウ・ゾウ・かた・かたどる・ぞう・のり
MJ024923	U+8C61	11	ショウ・ゾウ・かた・かたどる・ぞう・のり
MJ024927	U+8C62	13	カン
MJ024932	U+8C66	13	キョ・ゴ・コ・おおいのこ
MJ024937	U+8C6A	15	ゴウ・やまあらし
MJ024938	U+8C6A	14	ゴウ
MJ024940	U+8C6B	16	ヨ・あらかじめ
MJ024942	U+8C6C	15	チョ・シャ・いのしし
MJ024952	U+8C76	20	フン・ブン
MJ024956	U+8C79	10	ヒョウ・ホウ・ひょう
MJ024983	U+8C93	16	ビョウ・ミョウ・ボウ・ねこ
MJ024989	U+8C98	18	バク・ミャク
MJ024992	U+8C9B	25	カン・ガン・ケン・ゲン・まみ
MJ024998	U+8CA0	9	フ・ブ・フウ・まける・まかす・おう
MJ025000	U+8CA0	9	フ・まける・まかす・おう
MJ025008	U+8CA7	11	ヒン・ビン・まずしい
MJ025010	U+8CA8	11	カ・たから
MJ025014	U+8CAB	12	カン・ケン・ワン・つらぬく
MJ025015	U+8CAB	11	カン・つらぬく
MJ025038	U+8CC1	13	ヒ・ホン・フン・ブン・リク・ロク・ビ・ハン
MJ025043	U+8CC5	13	カイ・ガイ
MJ025046	U+8CC7	13	シ・もと
MJ025050	U+8CCA	13	ゾク・ソク・そこなう
MJ025053	U+8CCB	13	コウ・あきらか
MJ025087	U+8CED	15	ト・ツ・かけ・かける
MJ025094	U+8CF2	16	ホウ・たもつ
MJ025103	U+8CFA	17	タン・すかす
MJ025105	U+8CFB	17	フ
MJ025106	U+8CFC	17	コウ・ク・あがなう
MJ025108	U+8CFC	17	コウ
MJ025119	U+8D05	18	ゼイ・セ・ギョウ・セイ・ゴウ・いぼ
MJ025124	U+8D09	19	タン・ドン
MJ025126	U+8D0A	19	サン・たすける
MJ025130	U+8D0E	20	バン・マン・ライ・レイ
MJ025131	U+8D0F	20	エイ・ヨウ・あまり・かつ
MJ025133	U+8D0F	20	エイ・ヨウ・あまり・かつ
MJ025134	U+8D0F	20	エイ・ヨウ・あまり・かつ
MJ025136	U+8D10	22	シン・ジン・はなむけ
MJ025138	U+8D11	21	カン・コウ・ク・コン
MJ025141	U+8D13	21	ゾウ
MJ025150	U+8D1B	24	カン・トウ・コウ・ク・コン・おろか
MJ025153	U+8D1C	24	ゾウ・かくす
MJ025154	U+8D1C	25	ゾウ
MJ025166	U+8D6D	15	シャ・あかつち
MJ025172	U+8D73	9	キュウ・ク
MJ025174	U+8D73	10	キュウ
MJ025179	U+8D77	10	キ・おきる・おこる・おこす
MJ025191	U+8D82	12	チン・おう
MJ025214	U+8D99	14	チョウ・ジョウ・キョウ
MJ025231	U+8DA9	19	チョク・チキ
MJ025238	U+8DAF	21	テキ・おどる
MJ025245	U+8DB9	11	ケツ・ケチ・ケイ・ケ
MJ025249	U+8DBC	11	ゲン・ケン
MJ025261	U+8DC7	12	エイ・テイ・セイ・ゼイ
MJ025266	U+8DCB	11	ハツ・バツ・ハイ・バチ・ふむ・おくがき・つまづく・こえる
MJ025282	U+8DDA	12	サン
MJ025284	U+8DDA	12	サン
MJ025285	U+8DDA	12	サン
MJ025288	U+8DDD	12	キョ・ゴ・けづめ
MJ025296	U+8DE4	13	コウ・キョウ・はぎ・すね
MJ025301	U+8DE8	13	ケ・ク・カ・カイ・コ・またぐ
MJ025305	U+8DEB	13	キョウ・コウ・あしおと
MJ025311	U+8DF0	15	ヘイ・ホウ・ヒョウ・ヘン・ベン
MJ025315	U+8DF3	13	チョウ・はねる・とぶ
MJ025332	U+8E09	14	ロウ
MJ025365	U+8E30	16	ユ・ヨウ・こえる
MJ025374	U+8E38	16	チン・タン・テン
MJ025386	U+8E43	16	ジャク・ニャク・ダク・ジャ・ニャ・ダ・ナ
MJ025388	U+8E44	16	テイ・ひづめ
MJ025390	U+8E46	16	タイ
MJ025394	U+8E48	17	トウ・ふむ
MJ025397	U+8E4A	17	ケイ
MJ025399	U+8E4B	17	トウ・ドウ・ふむ
MJ025408	U+8E55	18	ヒツ・さきばらい
MJ025418	U+8E5E	18	キ・かたあし
MJ025423	U+8E62	18	テキ・タク・たたずむ・たちもとおる・ひづめ
MJ025435	U+8E6E	18	セン
MJ025436	U+8E6E	19	セン
MJ025440	U+8E71	19	ショウ・シュ・チョウ・チュ
MJ025442	U+8E72	19	ソン・シュン
MJ025443	U+8E72	19	ソン・シュン
MJ025449	U+8E77	19	カチ・ケイ・ケチ・ケツ・たおれる・つまずく
