MJ文字図形名	対応UCS	読み
MJ022089	U+83CF	カ・ガ
MJ022092	U+83D1	サイ・シ・さく・たがやす・たちがれ・わざわい
MJ022094	U+83D2	コウ
MJ022096	U+83D3	カ
MJ022097	U+83D4	フク・ホク・ボク・ブク
MJ022101	U+83D6	ショウ
MJ022104	U+83D8	シュウ・スウ・シュ・コウ・ク
MJ022105	U+83D8	シュウ・スウ
MJ022110	U+83DC	サイ・な
MJ022111	U+83DC	サイ・な
MJ022114	U+83DD	ハツ・バチ
MJ022117	U+83DF	ト・ツ・ズ・う
MJ022118	U+83DF	ト・う
MJ022119	U+83DF	ト・ツ・ズ・う
MJ022120	U+83DF	ト・ツ・ズ・う・うさぎ
MJ022121	U+83DF	ト・う
MJ022122	U+83DF	ト・う
MJ022123	U+2B7CF	ト・う・うさぎ
MJ022124	U+83DF	ト・う
MJ022125	U+83DF	ト・う
MJ022127	U+83E0	ハ
MJ022129	U+83E1	カン・ゴン
MJ022134	U+83E5	セキ・シャク・シ
MJ022138	U+83E8	ショウ・ソウ
MJ022140	U+83E9	ボ・ハイ・ホク・フウ・ホ・ブ・ホツ・ボチ
MJ022142	U+83EA	トウ・ドウ
MJ022144	U+83EB	キン・コン・ギン・すみれ
MJ022151	U+83EF	カ・ケ・はな
MJ022152	U+83EF	カ・ケ・ゲ・カイ・はな
MJ022155	U+83F0	コ・ク・こも
MJ022156	U+83F0	コ・こも・まこも
MJ022158	U+83F1	リョウ・ひし
MJ022159	U+83F1	リョウ・ひし
MJ022160	U+83F1	リョウ・ひし
MJ022162	U+83F2	ヒ・うすい
MJ022163	U+83F2	ヒ・うすい
MJ022165	U+83F3	キン・ゴン
MJ022167	U+83F4	アン・エン・オン・いおり
MJ022170	U+83F6	ホウ・フ・ボ・ブ
MJ022172	U+83F7	シュウ・ソウ・ほうき
MJ022173	U+83F7	シュウ・ソウ・ほうき
MJ022174	U+83F8	ヨ・オ・エン
MJ022178	U+83F9	シャ・ショ・ソ・しおから・ししびしお・つけもの
MJ022181	U+83FB	リン
MJ022183	U+83FC	タン
MJ022185	U+83FD	シュク・ショウ・まめ
MJ022192	U+8401	カイ・キ・ギ・まめがら
MJ022195	U+8403	スイ・ズイ・セ・シュツ・ジュチ・サイ・あつまる
MJ022196	U+8403	サイ・スイ・ズイ・セ・あつまる
MJ022199	U+8404	ドウ・トウ
MJ022202	U+8406	ヒ・バチ・ビャク・ヘキ・ハツ・ヘイ・おおう
MJ022204	U+8407	チョウ・ジョウ
MJ022208	U+840A	ライ・リ
MJ022210	U+840B	セイ・サイ・シ
MJ022211	U+840B	サイ・シ・セイ
MJ022213	U+840C	ホウ・ボウ・ミョウ・ベイ・モウ・きざす・めばえ・もえる
MJ022215	U+840D	ヘイ・ビョウ・うきくさ
MJ022216	U+840D	ヘイ・うきくさ
MJ022218	U+840E	イ・エ・ズイ・ニ・ワイ・なえる・しぼむ
MJ022220	U+840F	タン・ドン
MJ022223	U+8411	スイ・カン・ガン・おぎ
MJ022226	U+8413	ギ・ケン・かや
MJ022227	U+8413	ギ
MJ022230	U+8415	セイ
MJ022231	U+8415	セイ・ザイ・シ・ジ・なずな
MJ022235	U+8419	くたびれ
MJ022237	U+841E	
MJ022240	U+8420	ボウ・もえる
MJ022241	U+8420	ホウ・ボウ・ミョウ・ベイ・モウ・きざす・めばえ・もえる
MJ022244	U+8422	ヤチ・ヤツ
MJ022245	U+8422	やち
MJ022249	U+8429	シュウ・シュ・ショウ・はぎ
MJ022251	U+842A	カ
MJ022253	U+842B	キョウ・コウ
MJ022255	U+842C	バン・マン・よろず
MJ022256	U+842C	バン・マン・ベン
MJ022257	U+842C	バン・マ・マン・よろず
MJ022261	U+842F	フウ・フ・ハイ・ブ・バイ
MJ022264	U+8431	ケン・カン・かや
MJ022269	U+8435	カ・ワ
MJ022274	U+8438	ユ
MJ022276	U+8439	ヘン・ベン
MJ022279	U+843B	アン・オン
MJ022281	U+843C	ガク・うてな
MJ022283	U+843D	ラク・おちる・おとす
MJ022289	U+8441	キョウ・コウ
MJ022294	U+8445	ソ・ショ
MJ022296	U+8446	ホ・ホウ
MJ022298	U+8447	ジュウ・ニュ・ニュウ
MJ022300	U+8448	シ
MJ022302	U+8449	ヨウ・ショウ・チョウ・ジョウ・は
MJ022303	U+8449	ヨウ・は
MJ022306	U+844A	アン・いおり
MJ022310	U+844D	フク
MJ022312	U+844E	リツ・リチ・ロツ・ロチ・むぐら
MJ022314	U+844F	セン・セイ・ショウ・シン
MJ022317	U+8451	ホウ・フウ・フ・かぶら
MJ022319	U+8452	コウ・グ・おおけたで
MJ022325	U+8456	トツ・ドチ
MJ022327	U+8457	チョ・チャク・ジャク・ジョ・あらわす・いちじるしい
MJ022329	U+8458	シ・わざわい
MJ022331	U+8459	ショウ・ソウ
MJ022333	U+845A	シン・ジン
MJ022334	U+845A	シン・ジン
MJ022335	U+845B	カツ・カチ・くず・つづら・かずら
MJ022337	U+845B	カツ・くず
MJ022338	U+845B	カツ・くず・かずら・つづら
MJ022339	U+845B	カツ・カチ・くず・つづら・かずら
MJ022340	U+845B	カツ・カチ・くず・つづら
MJ022341	U+845B	カツ・カチ・くず・つづら
MJ022342	U+845C	カツ
MJ022343	U+845C	カツ
MJ022348	U+845F	コウ・オウ
MJ022350	U+8460	シン・セン
MJ022352	U+8461	ブ・ホ・ヒ・ビ
MJ022354	U+8462	ガイ・カイ・おおう
MJ022355	U+8462	ガイ・カイ・おおう
MJ022357	U+8463	トウ・ツ・ショウ・シュ・トク・ただす
MJ022360	U+8464	チュウ・ジュ
MJ022362	U+8465	セン・ゼン
MJ022363	U+8466	イ・あし
MJ022365	U+8466	イ・あし
MJ022366	U+8466	イ・あし
MJ022367	U+8466	イ・あし
MJ022368	U+8466	イ・あし
MJ022370	U+8467	ホツ・ボチ
MJ022373	U+8469	ハ・ヘ・ア・はな
MJ022375	U+846A	ケイ・キ・カイ・ケ・あざみ
MJ022377	U+846B	コ・ゴ
MJ022379	U+846C	ソウ・ほうむる
MJ022381	U+846D	カ・ケ・あし・よし
MJ022383	U+846E	タン・ダン
MJ022385	U+846F	ヤク・アク・テキ・チャク
MJ022387	U+8470	スイ・サ・セ・シュン
MJ022389	U+8471	ソウ・ねぎ
MJ022392	U+8473	イ
MJ022394	U+8474	シン・カン・ゲン・ケン
MJ022396	U+8475	キ・ギ・あおい
MJ022398	U+8476	ジョウ・チョウ・テイ
MJ022400	U+8477	クン
MJ022402	U+8478	シ・サイ
MJ022404	U+8479	シ
MJ022406	U+847A	シュウ・ふき・ふく
MJ022407	U+847A	シュウ・ふき・ふく
MJ022409	U+847B	ラン・フウ・ブ
MJ022411	U+847C	ソウ・こえだ
MJ022413	U+847D	ヨウ
MJ022414	U+847D	ヨウ
MJ022415	U+847D	ヨウ
MJ022420	U+8481	シュツ・イツ・リツ
MJ022422	U+8481	シュツ・ジュチ・イツ・イチ・リツ・リチ
MJ022423	U+8481	シュツ・ジュチ・イツ・イチ・ジュツ
MJ022425	U+8482	タイ・テイ・へた
MJ022426	U+8482	タイ・へた
MJ022429	U+8484	カン
MJ022431	U+8485	すくも
MJ022432	U+8485	すくも
MJ022434	U+848B	ショウ・まこも
MJ022438	U+8490	シュウ・シュ・カイ・エ・あかね・あつめる・かり
MJ022441	U+8492	シ
MJ022443	U+8493	ジュン・ぬなわ
MJ022445	U+8494	ジ・シ・うえる・まく・まき
MJ022447	U+8495	ウン
MJ022450	U+8497	ロウ
MJ022453	U+8499	モウ・ボウ・ム・モ・おおう・くらい・こうむる
MJ022454	U+8499	モウ
MJ022455	U+8499	モウ
MJ022458	U+849C	サン・ひる・のびる
MJ022460	U+849C	サン・ひる・のびる
MJ022464	U+849E	リ・のぞむ
MJ022466	U+849F	コン・ク・グ
MJ022469	U+84A1	ボウ・ホウ・ビョウ
MJ022470	U+84A1	ボウ・ホウ
MJ022476	U+84A6	ワク・カク・キャク・ヤク
MJ022477	U+84A6	ワク
MJ022479	U+84A7	テン
MJ022481	U+84A8	セン・あかね
MJ022482	U+84A8	セン
MJ022485	U+84A9	ソ・ショ・シャ・ジャ
MJ022487	U+84AA	ハク・ホク
MJ022491	U+84AD	シュ・スウ・まぐさ
MJ022494	U+84AF	カイ・ケ・あぶらがや
MJ022497	U+84B1	ホ・ブ
MJ022499	U+84B2	ブ・ホ・フ・ハク・バク・かま・がま
MJ022502	U+84B4	サク
MJ022507	U+84B8	ジョウ・ショウ・むす・むれる・むらす
MJ022509	U+84B9	ケン・カン・おぎ
MJ022510	U+84B9	ケン・カン・おぎ
MJ022512	U+84BA	シツ・ジチ・ジキ・ショク
MJ022514	U+84BB	ニャク・ジャク・ダク・ニョク
MJ022515	U+84BB	ニャク・ジャク・ダク・ニョク
MJ022517	U+84BC	ソウ・あお・あおい
MJ022519	U+84BD	オン
MJ022521	U+84BE	ベイ・メイ
MJ022523	U+84BF	コウ・よもぎ
MJ022526	U+84C0	ソン
MJ022528	U+84C1	シン
MJ022530	U+84C2	ベキ・メイ・ベイ・ミョウ・ミャク
MJ022533	U+84C4	チク・キク・たくわえる
MJ022535	U+84C5	リュウ・ル
MJ022537	U+84C6	セキ・ジャク・むしろ
MJ022539	U+84C7	コツ・クチ
MJ022541	U+84C8	ロウ
MJ022544	U+84C9	ヨウ・ユ・オウ
MJ022546	U+84CA	オウ・オ・とう
MJ022547	U+84CA	オウ
MJ022548	U+84CA	オウ
MJ022550	U+84CB	ガイ・カイ・コウ・カツ・ゴウ・カチ・おおう・かさ・けだし・ふた
MJ022552	U+84CC	サ・サイ・スイ
MJ022554	U+84CD	シ・めどぎ
MJ022556	U+84CE	トウ・ドウ
MJ022559	U+84CF	ラ
MJ022560	U+84CF	ラ
MJ022562	U+84D0	ジョク・ニク・しとね
MJ022563	U+84D0	ジョク・ニク・しとね
MJ022565	U+84D1	サ・サイ・セ・みの
MJ022569	U+84D3	ハイ・バイ
MJ022573	U+84D6	ヒ・ヘイ
MJ022577	U+84D9	ザ・ござ
MJ022578	U+84D9	ザ
MJ022580	U+84DA	シュウ・チョウ
MJ022581	U+84DC	ハイ
MJ022583	U+84DC	ハイ
MJ022589	U+84E7	チョウ・テキ・ジョウ・ジャク・あじか
MJ022594	U+84EA	トウ・ツ・あけび
MJ022595	U+84EB	チク・キク
MJ022597	U+84EC	ホウ・ブ・よもぎ
MJ022598	U+84EC	ホウ・ブ・よもぎ
MJ022600	U+84EC	ホウ・ブ・よもぎ
MJ022601	U+84EC	ホウ・ブ・よもぎ・まがる・くさむら・みだれる
MJ022604	U+84EE	レン・はす・はちす
MJ022605	U+84EE	レン・はす・はちす
MJ022606	U+84EE	レン・ソウ・はす
MJ022607	U+84EE	レン・ソウ・ショウ・はす
MJ022610	U+84EF	ソウ・ス・ショウ・シュ
MJ022611	U+84F0	シ
MJ022613	U+84F1	ヘイ・ビョウ・うきくさ
MJ022615	U+84F1	ヘイ・ビョウ・うきくさ
MJ022617	U+84F2	キュウ・ク・シュ・ウ・オウ・オ・フ
MJ022620	U+84F4	ジュン・シュン・タン・ダン・ぬなわ
MJ022621	U+84F4	ジュン・シュン・タン・ダン・ぬなわ
MJ022625	U+84F7	タイ・ツイ・テ・スイ
MJ022630	U+84FB	シュウ・ジョウ・ニョウ・キク
MJ022632	U+84FC	リク・リョウ・ロウ・ロク・リュウ・ル・たで
MJ022633	U+84FC	リク・リョウ・たで
MJ022635	U+84FD	ヒツ・ヒチ・いばら・まめ
MJ022636	U+84FD	ヒツ・ヒチ・いばら・まめ
MJ022639	U+84FF	シュク
MJ022641	U+8500	ホウ・ホ・ブ・しとみ
MJ022645	U+8502	ルイ・ラ・ライ・レ
MJ022647	U+8503	キョウ・ゴウ
MJ022651	U+8506	リョウ・ひし
MJ022653	U+8507	キ・ケ・ギ
MJ022660	U+850C	ス・ソウ・ソク・シュ・な・あおもの
MJ022663	U+850E	セツ・セチ・サツ・サチ
MJ022666	U+8510	テキ
MJ022667	U+8511	ベツ・メチ・ベイ・メイ・さげすむ・ないがしろ・くらい・ない・ないがしろにする
MJ022668	U+8511	ベツ・メチ・ベイ・メイ・さげすむ・ないがしろ・くらい・ない・ないがしろにする
MJ022669	U+8511	ベツ・くらい・ない・さげすむ・ないがしろにする
MJ022672	U+8512	クン
MJ022674	U+8513	マン・バン・つる
MJ022675	U+8513	マン・つる
MJ022676	U+8513	マン・つる
MJ022678	U+8514	フク・ホク・ボク
MJ022680	U+8515	テイ・タイ・テ・へた
MJ022683	U+8517	シャ・ショ・さとうきび
MJ022684	U+8517	シャ・ショ・さとうきび
MJ022687	U+8518	サン・シン
MJ022690	U+851A	ウツ・ウチ・イ・おとこよもぎ
MJ022692	U+851B	コク・ゴク
MJ022694	U+851C	ゴウ
MJ022697	U+851E	ロウ・ル・リュウ・ク・グ・よもぎ
MJ022699	U+851F	ゾク・ソク・ソウ・シュ・サク・まぶし
MJ022702	U+8521	サイ・サツ・サチ
MJ022704	U+8522	ハ・バ
MJ022705	U+8523	ショウ・ソウ
MJ022707	U+8523	ショウ・ソウ・まこも
MJ022709	U+8524	ビツ・ミチ・ミツ
MJ022710	U+8525	ソウ・ス
MJ022712	U+8525	ソウ
MJ022714	U+8526	チョウ・つた
MJ022716	U+8527	セイ・セ・スイ
MJ022720	U+852A	セン・ゼン・サン・かる
MJ022722	U+852B	エン・オン
MJ022724	U+852C	ソ・ショ・ス・シュ・あおもの
MJ022726	U+852D	イン・オン・かげ
MJ022729	U+852F	チン・ジン
MJ022733	U+8532	コウ・ク
MJ022735	U+8533	セン
MJ022739	U+8534	マ
MJ022743	U+8536	あつまる・あやまつ
MJ022744	U+853D	ヘイ・ヘツ・ヒ・ヒツ・フツ
MJ022745	U+853D	ヘイ・ヒ・ヒツ・ヒチ・ヘツ・ヘチ・フツ・ブチ・おおい・おおう
MJ022747	U+853E	リ・レイ・ライ
MJ022749	U+853E	リ
MJ022751	U+853F	ケ・イ・カ・ガ・キ
MJ022753	U+8540	キョク
MJ022755	U+8541	ジン・タン・シン・ドン
MJ022756	U+8541	ジン
MJ022761	U+8543	バン・ハン・ヒ・ビ・ホン・しげる・ふえる
MJ022765	U+8546	テン
MJ022768	U+8548	ジン・シン・キン・タン・テン・ゴン・ドン・デン・きのこ
MJ022769	U+8548	ジン・シン・きのこ
MJ022771	U+8549	ショウ
MJ022773	U+854A	ズイ・セン・セツ・ニ・セチ・しべ
MJ022775	U+854B	ズイ・しべ
MJ022779	U+854E	キョウ・ギョウ
MJ022781	U+854F	チョ
MJ022783	U+8550	カ・はな
MJ022785	U+8551	カン・ケン・ゲン
MJ022787	U+8552	バイ・メ
MJ022789	U+8553	ウン
MJ022792	U+8555	ユ・ユウ
MJ022793	U+8555	ユ・ユウ
MJ022794	U+8555	ユ・ユウ
MJ022795	U+8556	キョ
MJ022797	U+8556	キョ・ゴ・いも
MJ022798	U+8556	キョ・ゴ・いも
MJ022799	U+8557	ロ・ふき
MJ022802	U+8558	ジョウ・ニョウ・ドウ・ギョウ・きこり・たきぎ
MJ022804	U+8559	ケイ・エ・かおりぐさ
MJ022805	U+8559	ケイ・エ
MJ022806	U+8559	エ・ケイ・かおりぐさ
MJ022808	U+855A	ガク・うてな
MJ022811	U+855C	ヒ・ビ
MJ022812	U+855D	セツ・セイ・セチ・セ
MJ022813	U+855D	セツ・セイ・セチ・セ・そり
MJ022816	U+855E	サイ・セツ・サツ・セチ・サチ
MJ022818	U+855F	ハツ・ホチ・ハイ
MJ022820	U+8560	ジョ・ニョ
MJ022822	U+8561	フン・ブン・ハン・ボン・ハイ・バイ・ホン・ヒ・ビ
MJ022824	U+8562	カイ・ケ・キ・ギ・あじか・つちくれ
MJ022826	U+8563	シュン・あさがお・むくげ
MJ022827	U+8563	シュン・あさがお・むくげ
MJ022828	U+8563	シュン・あさがお・むくげ
MJ022829	U+8563	シュン・あさがお・むくげ
MJ022831	U+8564	スイ・ズイ・ヌイ・かざり
MJ022837	U+8568	ケツ・カチ・わらび
MJ022839	U+8569	トウ・ドウ・うごく
MJ022841	U+856A	ブ・ム・かぶら・かぶ・あれる
MJ022843	U+856B	トウ・ツ・ズ
MJ022844	U+856B	トウ・ツ・ズ
MJ022846	U+856C	シ
MJ022848	U+856D	ショウ・よもぎ
MJ022851	U+856F	ロウ・ル・リュウ
MJ022855	U+8570	ウン・オン
MJ022857	U+8573	カン
MJ022860	U+8577	ヨ
MJ022861	U+8578	カ・ケ
MJ022863	U+8578	カ・ケ
MJ022865	U+8579	ヨウ・ユ
MJ022867	U+857A	シュウ・ショウ・どくだみ
MJ022869	U+857B	コウ・グ
MJ022872	U+857D	ノウ・ドウ・ヌ
MJ022874	U+857E	ライ・レ・つぼみ
MJ022876	U+857F	ケン・かや
MJ022878	U+8580	ウン・オン・つむ
MJ022879	U+8581	イク・オウ・にわうめ
MJ022881	U+8581	イク・にわうめ
MJ022887	U+8584	ハク・うすい・うすめる・うすまる・うすらぐ・うすれる
MJ022888	U+8584	ハク・バク・ヘキ・ビャク・ホ・ブ・うすい・うすめる・うすまる・うすらぐ・うすれる
MJ022890	U+8585	コウ
MJ022894	U+8586	アイ・キ・ケ
MJ022895	U+8587	ビ・ミ・ぜんまい
MJ022897	U+8587	ビ・ミ・ぜんまい
MJ022898	U+8587	ビ・ミ・ぜんまい
MJ022899	U+8587	ビ・ぜんまい
MJ022901	U+8588	ワイ・カイ・イ・エ
MJ022903	U+8589	ワイ・エ
MJ022904	U+858A	ケイ・カイ・ケ・ケチ・ケツ・あざみ
MJ022906	U+858A	ケイ・カイ・ケ・ケチ・ケツ・あざみ
MJ022908	U+858B	シ
MJ022910	U+858C	キョウ・コウ
MJ022911	U+858C	キョウ・コウ・かおり
MJ022912	U+858C	キョウ・コウ
MJ022917	U+858F	イ・ヨク・オク・オキ
MJ022918	U+858F	イ・ヨク・オキ
MJ022920	U+8590	ロウ・レン
MJ022922	U+8591	キョウ・コウ・はじかみ
MJ022925	U+8593	シン
MJ022927	U+8594	ソウ・シキ・ゾウ・ショク・ショウ・みずたで
MJ022928	U+8595	レン
MJ022930	U+8596	カ
MJ022933	U+8597	エン・オン
MJ022934	U+8598	タツ・タチ・おおばこ
MJ022936	U+8598	タツ・タチ
MJ022938	U+8599	テイ・タイ・シ・ジ・チ・なぎ・なぐ・かる
MJ022941	U+859B	セツ・セチ
MJ022943	U+859C	ヘイ・ヘキ・ヒャク・ベイ・ハク・バク・ハイ・ベ
MJ022945	U+859D	セン・タン
MJ022948	U+859F	レン・ケン・コン・ゲン・ゴン・カン
MJ022950	U+85A0	ハン・ボン
MJ022953	U+85A2	カイ・ゲ・ケ
MJ022956	U+85A4	カイ・ケイ・ゲイ・にら・おおにら
MJ022958	U+85A5	ショク・ゾク・チョク・チク
MJ022960	U+85A6	セン・ゼン・シン・すすめる
MJ022962	U+85A7	コウ
MJ022964	U+85A8	コウ・みまかる
MJ022965	U+85A9	サツ・サチ
MJ022967	U+85A9	サツ・サチ
MJ022968	U+85A9	サツ・サチ
MJ022970	U+85AA	シン・たきぎ
MJ022972	U+85AB	クン・かおる
MJ022973	U+85AB	クン・かおる・かおりぐさ・かおり
MJ022978	U+85AD	ひえ・ひ
MJ022984	U+85AF	ショ・ジョ・いも
MJ022985	U+85AF	ショ・ジョ・いも
MJ022987	U+85B0	クン・かおる
MJ022992	U+85B3	イ・エン・ひめはぎ
MJ022995	U+85B4	ドウ・ニョウ
MJ022997	U+85B5	チュウ・ジュ
MJ022999	U+85B6	バイ・マイ・リ・メ・ワ・うめる
MJ023001	U+85B7	ジュ・ニュ・ジュウ
MJ023003	U+85B8	ヒョウ・ビョウ
MJ023005	U+85B9	ダイ・タイ・あぶらな・とう
MJ023007	U+85BA	セイ・ザイ・シ・ジ・なずな
MJ023010	U+85BC	チン
MJ023012	U+85BD	シン・ケン
MJ023014	U+85BE	ジ・ニ・デイ・ナイ
MJ023016	U+85BF	ギ・ギョク・ゴク・ゴキ
MJ023019	U+85C1	コウ・わら
MJ023023	U+85C2	ソウ・ス・ズ・くさむら
MJ023029	U+85C7	ショ・ジョ・ヨ
MJ023032	U+85C9	シャ・ジャク・セキ・ジャ・かりる・ふむ・しく
MJ023033	U+85C9	シャ・ジャク・セキ・かりる・ふむ
MJ023035	U+85CA	ヘン・ふじまめ
MJ023037	U+85CB	ジョウ・ジョク・ジャク・チョウ・タク・テキ
MJ023039	U+85CD	ラン・あい
MJ023041	U+85CD	ラン・あい
MJ023043	U+85CE	ジン・シン・かりやす
MJ023045	U+85CF	ゾウ・くら
MJ023046	U+85CF	ゾウ・くら
MJ023047	U+85CF	ゾウ・ソウ・くら・かくれる・おさめる・たくわえる
MJ023050	U+85D0	バク・マク・ミョウ・ビョウ・ボウ・かろんじる・とおい
MJ023054	U+85D5	グ・グウ・ゴウ
MJ023055	U+85D5	グ・グウ
MJ023059	U+85D8	リョ・ロ
MJ023061	U+85D9	ギ・ゲ
MJ023062	U+85DA	ショク・ゾク
MJ023064	U+85DA	ゾク・ショク・おもだか
MJ023067	U+85DC	レイ・ライ・あかざ
MJ023069	U+85DD	ゲイ・わざ
MJ023071	U+85DF	ルイ
MJ023073	U+85E0	キョウ・ギョウ
MJ023074	U+85E1	テキ
MJ023076	U+85E1	テキ
MJ023080	U+85E4	トウ・ドウ・ふじ
MJ023081	U+85E4	トウ・ドウ・ふじ
MJ023082	U+85E4	トウ・ドウ・ふじ
MJ023087	U+85E5	ヤク・シャク・リャク・くすり
MJ023088	U+85E5	ヤク・シャク・リャク・くすり
MJ023090	U+85E6	バ・マ
MJ023095	U+85E8	ビョウ・キョウ・ヒョウ・ホウ
MJ023097	U+85E9	ハン・ホン・まがき
MJ023099	U+85EA	ス・シュ・ソウ・やぶ
MJ023100	U+85EA	シュ・ソウ・ス・やぶ
MJ023105	U+85ED	キュウ・グ
MJ023112	U+85F3	コウ・わら
MJ023115	U+85F6	レキ・リャク
MJ023117	U+85F7	ショ・いも
MJ023118	U+85F7	ショ・ジョ・いも
MJ023121	U+85F9	アイ・アチ・アツ
MJ023122	U+85F9	アイ・アチ・アツ
MJ023124	U+85FA	リン・レン・い
MJ023126	U+85FB	ソウ・ショウ・も
MJ023128	U+85FC	ケン
MJ023129	U+85FC	ケン・カン・かや
MJ023133	U+85FE	ライ
MJ023134	U+85FE	ライ・くさよもぎ・おおう
MJ023136	U+85FF	カク・スイ・まめのは
MJ023138	U+8600	タク・ジャク
MJ023141	U+8602	ズイ・しべ
MJ023144	U+8604	キ・キン・ギ・ケ・ゴン・くつわ
MJ023146	U+8605	コウ・ギョウ
MJ023148	U+8606	ロ・リョ・ラ・あし
MJ023149	U+8607	ソ・ス・よみがえる
MJ023151	U+8607	ソ・ス・ショ・よみがえる
MJ023152	U+8607	ソ・ス・ショ・よみがえる
MJ023156	U+860A	ウン・オン・つむ
MJ023158	U+860B	ヒン・ビン・うきくさ
MJ023159	U+860B	ヒン・うきくさ
MJ023161	U+860D	クン
MJ023163	U+2C7D3	クン・かおる
MJ023166	U+860E	キ
MJ023169	U+8610	ケン
MJ023171	U+8611	バ・マ
MJ023173	U+8612	はぎ
MJ023175	U+8613	ソ・ス・よみがえる
MJ023179	U+8616	ゲツ・ひこばえ
MJ023181	U+8617	ハク・きはだ
MJ023182	U+8618	ジョウ・ニョウ・ソウ・ドウ・ショウ・ノウ・みょうが
MJ023184	U+8618	ジョウ・みょうが
MJ023186	U+8619	エイ
MJ023187	U+8619	エイ
MJ023190	U+861A	セン・こけ
MJ023192	U+861B	イク・ユ
MJ023195	U+861E	レン・ケン・コン・えぐい
MJ023199	U+8621	オウ・ヨウ
MJ023201	U+8622	ロウ・リョウ
MJ023202	U+8622	ロウ・リョウ
MJ023204	U+8624	カ・ハイ・ケ・バ
MJ023206	U+8624	イ・ハ・バ・カ・ケ
MJ023209	U+8627	キョ・ク・まこもだけ
MJ023211	U+8627	キョ・ク・グ・ゴ・まこもだけ
MJ023215	U+8629	ハン・ボン・しろよもぎ・ふき
MJ023216	U+8629	ハン・ボン・しろよもぎ・ふき
MJ023222	U+862D	ラン・かたなかけ・さえぎる
MJ023223	U+862D	ラン
MJ023227	U+862F	トウ
MJ023229	U+8630	かつら・かずら
MJ023230	U+8630	かつら・かずら
MJ023236	U+8636	ギ
MJ023238	U+8636	ギ・ひこばえ
MJ023240	U+8638	サン・ひたす
MJ023242	U+8639	カイ・エ
MJ023244	U+863A	リ
MJ023247	U+863C	ビ・ミ
MJ023249	U+863D	ルイ
MJ023252	U+863F	ラ
MJ023254	U+8640	セイ・サイ・なます
MJ023255	U+8641	キ
MJ023256	U+8641	キ
MJ023257	U+8641	キ・ギ・もののけ
MJ023260	U+8642	ロ
MJ023264	U+8646	ルイ・ラ
MJ023273	U+864E	コ・ク・とら
MJ023278	U+8650	ギャク・ガク・しいたげる
MJ023284	U+8653	キョウ・コウ・ほえる
MJ023286	U+8654	ケン・つつしむ
MJ023296	U+865E	グ・ゴ・おそれ
MJ023309	U+8667	キ・かける
MJ023312	U+866A	シュク・イク
MJ023330	U+867B	ボウ・あぶ
MJ023337	U+8688	ケン
MJ023340	U+8689	ブン・か
MJ023342	U+868A	か
MJ023344	U+868B	ゼイ・ぶよ
MJ023346	U+868C	ボウ・ホウ・とぶがい
MJ023362	U+869C	カ・ケ
MJ023371	U+86A3	コウ・ショウ
MJ023378	U+86A9	チ
MJ023381	U+86AB	あわび
MJ023432	U+86DF	コウ・みずち
MJ023436	U+86E2	ヘイ・ビョウ・ホウ・ヒョウ
MJ023442	U+86E7	ボウ・モウ
MJ023445	U+86E9	キョウ・グ・ク・こおろぎ
MJ023446	U+86E9	キョウ・グ・こおろぎ
MJ023448	U+86EA	ケツ・ケチ・ゲツ・ゲチ
MJ023450	U+86EB	キ
MJ023458	U+86F8	ソウ・ショウ・たこ
MJ023463	U+86FB	ゼイ・ぬけがら
MJ023472	U+8703	シン
MJ023478	U+8708	ゴ
MJ023480	U+8709	フ
MJ023489	U+8711	タン・あま
MJ023491	U+8712	エン
MJ023492	U+8712	エン
MJ023499	U+871A	ヒ・あぶらむし
MJ023515	U+8729	チョウ・せみ・ひぐらし
MJ023530	U+8737	ケン・ゲン・にな
MJ023534	U+8739	ゼイ・ネ・ゼツ・ネチ・エイ・エ・ぶよ
MJ023537	U+873B	セイ・ショウ・とんぼ
MJ023546	U+8744	モウ・ボウ・すだま
MJ023547	U+8745	サン
MJ023555	U+874D	ショク・シツ・セツ・シキ・シチ・セチ
MJ023557	U+874E	カツ・さそり
MJ023560	U+8750	バイ・メ・ボウ・マイ・モク
MJ023564	U+8753	ユ
MJ023567	U+8755	ショク・ロウ・ル・リョク・ジキ・リキ・むしばむ
MJ023571	U+8758	エン
MJ023572	U+8759	ヘン
MJ023578	U+875D	エン
MJ023600	U+8771	ボウ・ミョウ・あぶ
MJ023602	U+8773	トク・ドク・タイ・ダイ
MJ023604	U+8773	タイ・ダイ・トク・ドク
MJ023609	U+8777	レキ・リャク・セキ・シャク
MJ023611	U+8779	イン・ウン
MJ023619	U+8782	ロウ
MJ023620	U+8782	ロウ
MJ023621	U+8782	ロウ
MJ023647	U+879B	カツ・ガチ・ゲチ
MJ023655	U+87A3	トウ・チン・トク・ドウ・ジン・ドク・タイ・ダイ
MJ023681	U+87BD	シュウ・いなご
MJ023685	U+87C0	シュツ
MJ023690	U+87C4	チツ・かくれる
MJ023693	U+87C6	バ・メ・マ・バク・マク・ひき
MJ023695	U+87C7	マ・バ・ひき
MJ023705	U+87D2	モウ・ボウ・うわばみ・おろち
MJ023706	U+87D2	モウ・ボウ・ミョウ・うわばみ・おろち
MJ023707	U+87D2	ボウ・モウ・ミョウ・うわばみ・おろち
MJ023715	U+87D9	ショク・シキ
MJ023726	U+87E3	キ・しらみ・ひる
